amfi_code,scheme_name,category,beta,alpha_annualized_pct,r_squared,p_value,std_err
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,-0.02319606204405971,30.336965386983323,0.00014142575502721738,0.6871791461096044,0.05758874143280733
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.01145515996052069,30.05787817097677,3.5329906267955524e-05,0.8404935891843303,0.056903703736950015
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.0005490042506317135,29.26358334175106,1.345534167566892e-07,0.990090235690614,0.04419229984364898
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.018133884083859218,28.27036785246582,0.000174888865681295,0.6542952865906958,0.040484619877281615
120843,Kotak Flexicap Fund - Regular - Growth,Equity,-0.022829569792426545,27.330465038306055,0.000343054342715145,0.5305284121437437,0.03638815632934553
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.005103525830528322,27.19535450128533,1.2066520635068221e-05,0.9063691402409377,0.0433805404268303
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.023683558075848602,26.98375144191807,0.00046254369066238383,0.46642651975427507,0.03250786112917388
149323,DSP Midcap Fund - Regular - Growth,Equity,-0.002523004664699231,26.598577542043046,3.357978192008818e-06,0.9505247706268665,0.040653381887808544
119094,Axis Midcap Fund - Regular - Growth,Equity,-0.06626542862803757,26.07666908004223,0.0019368789369602307,0.13598752352498508,0.04441534793764908
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,-0.03175144113890976,23.201007160635083,0.0008869788879322832,0.31314302723084525,0.031465337983741765
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,-0.008353832126962031,21.829397904608644,5.791756270127849e-05,0.796645746547018,0.03241054388354019
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.021086316250128034,21.399784776051213,0.00034804820307142523,0.5275509209180675,0.03336750375157688
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.016232169761417028,21.19482701352573,0.00021216129075887516,0.6218551541356448,0.03290150146588934
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,-0.026387719943843004,20.873010086942337,0.00048592647527973177,0.45537031787419857,0.03533697205783346
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,-0.026159307513513412,19.86859936686296,0.0005850821704543429,0.4127055818020543,0.031923390924810474
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.04882040425957738,17.729754927531765,0.0018401792783071574,0.1461759487459866,0.033572960261486776
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,-0.040268952369820595,17.703302365844074,0.0013974446083318604,0.20543745183411546,0.03178466640024182
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.10349663691337593,17.50072167561127,0.0027930065610663256,0.07333892285784299,0.05774324797224456
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,-0.019486785689474543,17.048756803412697,0.0003828503073092389,0.5075948866942017,0.029400915178885975
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.041896462728119754,16.25385327998104,0.0012571178108220732,0.2297848810754316,0.034868599753750985
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.01668268943777082,16.211256794033254,0.00018619166432850152,0.6440466770890055,0.03609639283424431
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,-0.036639006718609334,15.643835948169668,0.0011382947171084273,0.25315678850632384,0.032046994367127025
118635,Nippon India ETF Nifty 50 BeES,Equity,-0.0014335213897801234,15.136354648239239,2.0253408972328162e-06,0.9615666405413446,0.02974219129299423
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,-0.004050271130006494,13.173190226099432,1.32276078808502e-05,0.9019895024405034,0.032882047999788507
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.036356399022199795,13.042924450705446,0.0012113711061211864,0.23845930871566406,0.030824592340953673
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.00905441262173915,11.98910097121797,4.0437465536342405e-05,0.8295182110189221,0.04204146371813351
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-0.06528924788351524,10.897091901704538,0.0010641052735572622,0.26923382859979983,0.059065851395247074
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.02588321244009314,8.232801295222094,0.0005692038090244866,0.41912120462855784,0.03202424744940539
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.01805687420811818,7.80443887615508,0.00016915548838314397,0.6596465767530764,0.04099029861586007
