amfi_code,scheme_name,category,return_3yr_pct,sharpe_ratio,alpha_annualized_pct,expense_ratio_pct,max_drawdown_pct,morningstar_rating,composite_score
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,33.991970400445304,1.4482911703262593,26.98375144191807,1.46,-11.265729075028275,5,86.25
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,31.769242852237323,1.1801011976606495,29.26358334175106,1.36,-18.188513572116292,3,82.25
120843,Kotak Flexicap Fund - Regular - Growth,Equity,29.57511058901836,1.3067439695428407,27.330465038306055,1.45,-12.97396816518679,5,82.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,32.43397122906222,1.0936987435346313,27.19535450128533,1.38,-16.217208574644847,5,80.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,32.478927222623,1.0265242847993,21.19482701352573,0.8,-12.588275606922517,3,80.0
119094,Axis Midcap Fund - Regular - Growth,Equity,35.10252788903541,0.9982309868636414,26.07666908004223,1.38,-20.960883862039193,5,77.0
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,30.448613060027817,1.2082665673727175,23.201007160635083,1.54,-15.012385498645331,4,74.81
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,29.17135767741186,1.2349300257743294,28.27036785246582,1.6,-16.39674294693263,5,73.69
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,28.960211096593724,1.0272133278753701,21.399784776051213,1.6,-11.291596329323072,5,68.19
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,26.66309129954312,0.9453082575156091,30.336965386983323,1.43,-28.706005721764548,5,67.38
149323,DSP Midcap Fund - Regular - Growth,Equity,26.863103668817146,1.1321218524747243,26.598577542043046,1.61,-17.24810575345138,4,66.75
149324,DSP Small Cap Fund - Regular - Growth,Equity,26.99350260734621,0.9497958246616028,30.05787817097677,1.52,-31.171900300634213,4,66.69
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,22.646647456747715,1.0816591793457038,21.829397904608644,1.51,-17.41407508665723,4,66.56
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,16.263375081360643,0.9532794968660094,19.86859936686296,0.66,-11.803493502764296,3,66.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,18.429918008610045,0.7757902498211211,17.729754927531765,0.92,-15.200013055606398,4,59.25
118635,Nippon India ETF Nifty 50 BeES,Equity,20.00321571698329,0.6648569985490614,15.136354648239239,0.89,-11.650624505409091,5,59.0
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,21.084691029380597,0.6452074382933211,15.643835948169668,0.72,-18.62974313859551,3,58.56
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,19.662361245910965,0.8170993373494366,17.048756803412697,1.57,-10.85986215250232,4,55.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,13.974980348212673,0.7979728586052853,17.703302365844074,1.42,-13.897862823061635,4,53.62
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,14.744434832760533,0.9262873467360146,20.873010086942337,1.52,-15.27259422823477,5,53.44
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,18.417429266835228,0.6488787755249535,16.25385327998104,1.41,-19.82565826298267,4,51.12
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,7.392538786263403,0.4957233929533125,6.746210411099539,0.74,-0.09773140045925555,5,48.0
119093,Axis Bluechip Fund - Direct - Growth,Equity,20.8115598266319,0.12961449795669316,8.232801295222094,0.75,-21.751396370148225,4,47.62
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,25.549670172502026,0.6195175900829826,16.211256794033254,1.64,-21.539827112383225,5,46.19
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,18.03973982038829,0.46403744922047724,13.173190226099432,1.54,-14.844576917771747,5,43.69
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,11.242518737374208,0.3006119210425476,11.98910097121797,0.78,-21.11727956013212,4,42.12
120844,Kotak Liquid Fund - Regular - Growth,Debt,6.694394239074852,-0.08874729621557328,6.4556774953759986,0.6,-0.11629327956168556,3,41.12
120841,Kotak Bluechip Fund - Regular - Growth,Equity,17.263014444437943,0.4942725378672354,13.042924450705446,1.59,-17.57361416468729,3,39.38
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,8.0060298597036,0.44843400890899143,17.50072167561127,1.53,-23.34488614483311,4,38.31
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,4.061259859840338,-0.3566295075143681,5.074772999976104,0.55,-8.316361763638703,4,34.62
